timestamp,trial,response_time,cursor_position,target_response,response
2024-02-17 15:33:16.232041,6,0.11761590000241995,45,n,n
2024-02-17 15:33:16.498019,6,0.2504647999885492,46,space,space
2024-02-17 15:33:16.877909,6,0.3637106000096537,47,m,m
2024-02-17 15:33:16.948575,6,0.05081579997204244,48,a,a
2024-02-17 15:33:17.053162,6,0.06837029999587685,49,l,l
2024-02-17 15:33:17.156556,6,0.07412730000214651,50,d,d
2024-02-17 15:33:17.487584,6,0.3071326999925077,51,i,i
2024-02-17 15:33:17.551774,6,0.037211199989542365,52,v,v
2024-02-17 15:33:17.849451,6,0.26512980001280084,53,e,e
2024-02-17 15:33:18.043549,6,0.17900169995846227,54,s,s
2024-02-17 15:33:18.145329,6,0.0799117999849841,55,space,space
2024-02-17 15:33:18.353399,6,0.18848070001695305,56,m,a
2024-02-17 15:33:18.575182,6,0.1935273000271991,56,m,m
2024-02-17 15:33:18.755344,6,0.15725950000341982,57,a,l
2024-02-17 15:33:18.807700,6,0.026362000033259392,57,a,a
2024-02-17 15:33:18.968794,6,0.13466739997966215,58,l,t
2024-02-17 15:33:19.028038,6,0.03019189997576177,58,l,a
2024-02-17 15:33:19.145484,6,0.07674920000135899,58,l,l
2024-02-17 15:33:19.632350,6,0.46733740001218393,59,t,t
2024-02-17 15:33:19.683484,6,0.03453140001511201,60,a,a
2024-02-17 15:33:19.942216,6,0.22372939996421337,61,space,space
2024-02-17 15:33:20.378768,6,0.41333900002064183,62,a,a
2024-02-17 15:33:20.865994,6,0.4674475999781862,63,z,z
2024-02-17 15:33:21.078584,6,0.1966575999977067,64,e,e
2024-02-17 15:33:21.141996,6,0.043347899976652116,65,r,r
2024-02-17 15:33:21.588648,6,0.4228524999925867,66,b,b
2024-02-17 15:33:21.687355,6,0.07191670004976913,67,a,a
2024-02-17 15:33:21.920829,6,0.20451469998806715,68,i,i
2024-02-17 15:33:22.144514,6,0.19510460004676133,69,j,k
2024-02-17 15:33:22.303513,6,0.137943500012625,69,j,a
2024-02-17 15:33:22.396498,6,0.0644425000064075,69,j,n
2024-02-17 15:33:22.612864,6,0.18051479995483533,69,j,space
